Course ID,Course Full Name,summary,summary_lower,parsed_duration_hours,duration_parse_confidence,parsed_prerequisite_text,mapped_prerequisite_course_id,prerequisite_map_note,parsed_grade_hint,parsed_audience_text
8774,Chapter 7 - PPOs and Other Health Plan Types,<p><ul><ul><li>Preferred Provider Organizations(PPOs)</li><li>PPO Structure and Organization</li><li>EPOs and POS</li><li>POS and Managed Indemnity Plan</li></ul></ul><br></p>,<p><ul><ul><li>preferred provider organizations(ppos)</li><li>ppo structure and organization</li><li>epos and pos</li><li>pos and managed indemnity plan</li></ul></ul><br></p>,2.0,0.2,,,,,
8775,Chapter 8 - Health Plans for Specialty Services,<p><ul><ul><li><a>What are Specialty Services</a></li><li><a>Carve-out Methods for delivery of specialty services</a>&nbsp;.</li><li><a>Managed&nbsp;</a><a>Dental Care and three main types of dental plans</a></li><li><a>Four&nbsp;</a><a>basic strategies in Managed Behavioral Health Organizations (MBHOs)</a></li><li><a>Services&nbsp;</a><a>offered by a Pharmacy Benefit Management (PBM) plan</a></li></ul></ul><br></p>,<p><ul><ul><li><a>what are specialty services</a></li><li><a>carve-out methods for delivery of specialty services</a>&nbsp;.</li><li><a>managed&nbsp;</a><a>dental care and three main types of dental plans</a></li><li><a>four&nbsp;</a><a>basic strategies in managed behavioral health organizations (mbhos)</a></li><li><a>services&nbsp;</a><a>offered by a pharmacy benefit management (pbm) plan</a></li></ul></ul><br></p>,2.0,0.2,,,,,
8776,Chapter 9 - The Move to Consumer Choice,<p><ul><ul><li><a>Movement towards Consumer&nbsp;</a><a>Choice</a></li><li><a>General&nbsp;</a><a>philosophy of the consumer choice&nbsp;</a><a>approach</a></li><li><a>CDHP&nbsp;</a><a>(Consumer Directed Health Plan)</a>&nbsp;<a>models</a></li><li><a>Benefits&nbsp;</a><a>of&nbsp;</a><a>CDHPs</a></li></ul></ul><br></p>,<p><ul><ul><li><a>movement towards consumer&nbsp;</a><a>choice</a></li><li><a>general&nbsp;</a><a>philosophy of the consumer choice&nbsp;</a><a>approach</a></li><li><a>cdhp&nbsp;</a><a>(consumer directed health plan)</a>&nbsp;<a>models</a></li><li><a>benefits&nbsp;</a><a>of&nbsp;</a><a>cdhps</a></li></ul></ul><br></p>,2.0,0.2,,,,,
8777,Chapter 10 - Types of Consumer Directed Health Plans,"<p><ul><ul><li><a>Identify&nbsp;</a><a>high-deductible health plans and the three major types of consumer-directed health plans (CDHPs</a>&nbsp;<a>)</a></li><li><a>Main&nbsp;</a><a>features of FSAs and&nbsp;</a><a>HRAs</a></li><li><a>HSA&nbsp;</a><a>rules regarding eligibility, qualified HDHPs, preventive care, contributions</a><a>,&nbsp;</a><a>and&nbsp;</a><a>distributions</a></li><li><a>Potential&nbsp;</a><a>impact of healthcare reform on CDHPs</a></li></ul></ul><br></p>","<p><ul><ul><li><a>identify&nbsp;</a><a>high-deductible health plans and the three major types of consumer-directed health plans (cdhps</a>&nbsp;<a>)</a></li><li><a>main&nbsp;</a><a>features of fsas and&nbsp;</a><a>hras</a></li><li><a>hsa&nbsp;</a><a>rules regarding eligibility, qualified hdhps, preventive care, contributions</a><a>,&nbsp;</a><a>and&nbsp;</a><a>distributions</a></li><li><a>potential&nbsp;</a><a>impact of healthcare reform on cdhps</a></li></ul></ul><br></p>",2.0,0.2,,,,,
8778,Chapter 11 - Provider Organizations,"<p></p><ul><ul><li><a>Types and levels of provider integration</a>&nbsp;,</li><li><a>The main physician-only integration models</a>&nbsp;,</li><li><a>Main physician-hospital integration models</a>&nbsp;,</li><li><a>Assumption of insurance risk by provider organizations, and</a></li><li><a>Accountable care organizations (ACOs) and Patient-centered medical homes (PCMHs).</a></li></ul></ul><br><p></p>","<p></p><ul><ul><li><a>types and levels of provider integration</a>&nbsp;,</li><li><a>the main physician-only integration models</a>&nbsp;,</li><li><a>main physician-hospital integration models</a>&nbsp;,</li><li><a>assumption of insurance risk by provider organizations, and</a></li><li><a>accountable care organizations (acos) and patient-centered medical homes (pcmhs).</a></li></ul></ul><br><p></p>",2.0,0.2,,,,,
8779,Chapter 12 - Health Plan Structure and Management,"<p><ul><ul><li><a>Disadvantages&nbsp;</a><a>of Not-for profit plans over For-Profit Plans</a>&nbsp;,</li><li><a>Stock and mutual insurance companies</a>&nbsp;,</li><li><a>Understand Role of a health plan’s board of directors</a>&nbsp;,</li><li><a>Identify a health plan’s key management positions and their functions, and</a></li><li><a>List some of the main committees that serve a health plan</a></li></ul></ul><br></p>","<p><ul><ul><li><a>disadvantages&nbsp;</a><a>of not-for profit plans over for-profit plans</a>&nbsp;,</li><li><a>stock and mutual insurance companies</a>&nbsp;,</li><li><a>understand role of a health plan’s board of directors</a>&nbsp;,</li><li><a>identify a health plan’s key management positions and their functions, and</a></li><li><a>list some of the main committees that serve a health plan</a></li></ul></ul><br></p>",2.0,0.2,,,,,
8780,Chapter 13 - Network Structure and Management,"<p><ul><ul><li><a>Market&nbsp;</a><a>analysis for a health plan network</a>&nbsp;;</li><li><a>Network Structure, Composition and Size</a>&nbsp;;</li><li><a>Main steps of the provider recruitment and selection process</a>&nbsp;;</li><li><a>Provider Credentialing and its Importance; and</a></li><li><a>Important provisions of the provider contract</a>&nbsp;.</li></ul></ul><br></p>","<p><ul><ul><li><a>market&nbsp;</a><a>analysis for a health plan network</a>&nbsp;;</li><li><a>network structure, composition and size</a>&nbsp;;</li><li><a>main steps of the provider recruitment and selection process</a>&nbsp;;</li><li><a>provider credentialing and its importance; and</a></li><li><a>important provisions of the provider contract</a>&nbsp;.</li></ul></ul><br></p>",2.0,0.2,,,,,
8781,Chapter 14 - Utilization Management,"<p><ul><ul><li><a>What is Utilization Management</a></li><li><a>Main strategies of utilization management</a>&nbsp;;</li><li><a>Case management</a></li><li><a>Disease management</a></li><li><a>Clinical practice guidelines, evidence-based healthcare, and health literacy</a>&nbsp;.</li></ul></ul><br></p>","<p><ul><ul><li><a>what is utilization management</a></li><li><a>main strategies of utilization management</a>&nbsp;;</li><li><a>case management</a></li><li><a>disease management</a></li><li><a>clinical practice guidelines, evidence-based healthcare, and health literacy</a>&nbsp;.</li></ul></ul><br></p>",2.0,0.2,,,,,
8782,Chapter 15 - Utilization Review,"<p><ul><ul><li>State the main purposes of utilization review</li><li>Describe prospective, concurrent, and retrospective UR</li><li>List the criteria used by plans to decide which services will be subject to UR</li><li>Identify the main care settings that UR may direct members to</li><li>Identify the main steps of the authorization process</li></ul></ul><br></p>","<p><ul><ul><li>state the main purposes of utilization review</li><li>describe prospective, concurrent, and retrospective ur</li><li>list the criteria used by plans to decide which services will be subject to ur</li><li>identify the main care settings that ur may direct members to</li><li>identify the main steps of the authorization process</li></ul></ul><br></p>",2.0,0.2,,,,,
8783,Chapter 16 - Quality Assessment and Improvement,<p><ul><ul><li>Discuss the issue of patient safety</li><li>Define and give examples of the three main types of quality measures and state the advantages and disadvantages of each</li><li>Identify the three main categories of data that health plans use to assess quality</li><li>Describe four approaches to improving health plan quality</li></ul></ul><br></p>,<p><ul><ul><li>discuss the issue of patient safety</li><li>define and give examples of the three main types of quality measures and state the advantages and disadvantages of each</li><li>identify the three main categories of data that health plans use to assess quality</li><li>describe four approaches to improving health plan quality</li></ul></ul><br></p>,2.0,0.2,,,,,
8784,Chapter 17 - Quality Standards,<p><ul><ul><li>Define quality standard</li><li>Define accreditation</li><li>Identify two major accrediting organizations for health plans</li><li>Define performance measure and</li><li>List a few of the ways the Affordable Care Act addresses healthcare quality</li></ul></ul><br></p>,<p><ul><ul><li>define quality standard</li><li>define accreditation</li><li>identify two major accrediting organizations for health plans</li><li>define performance measure and</li><li>list a few of the ways the affordable care act addresses healthcare quality</li></ul></ul><br></p>,2.0,0.2,,,,,
8785,Chapter 18 - Marketing,"<p><ul><ul><li>Discuss the main considerations in product development</li><li>Identify and describe the main distribution channels for health plan products</li><li>Define market segmentation and positioning</li><li>Discuss the marketing approach to the individual market</li><li>Compare the small, large, and intermediate group markets</li></ul></ul><br></p>","<p><ul><ul><li>discuss the main considerations in product development</li><li>identify and describe the main distribution channels for health plan products</li><li>define market segmentation and positioning</li><li>discuss the marketing approach to the individual market</li><li>compare the small, large, and intermediate group markets</li></ul></ul><br></p>",2.0,0.2,,,,,
